,Matrix,Source,Technique,Pearson_r,p_value
1,cfg07_noSW_noStem_unigram_BOW,BOW/TF-IDF,BOW,0.556295,1.88165673028719e-100
2,cfg10_noSW_stem_unigram_BOW,BOW/TF-IDF,BOW,0.555727,3.2947937502718044e-100
3,cfg07_noSW_noStem_unigram_TFIDF,BOW/TF-IDF,TF-IDF,0.551306,2.482326299985122e-98
4,cfg10_noSW_stem_unigram_TFIDF,BOW/TF-IDF,TF-IDF,0.534726,1.5514905676056941e-91
5,wordnet_cfg04_noSW_lem,WordNet,WordNet,0.49846,6.355903010783481e-78
6,wordnet_cfg03_noSW_noLem,WordNet,WordNet,0.49846,6.355903010783481e-78
7,cfg01_withSW_noStem_unigram_TFIDF,BOW/TF-IDF,TF-IDF,0.495037,1.0122696287813811e-76
8,cfg04_withSW_stem_unigram_BOW,BOW/TF-IDF,BOW,0.494105,2.1387322197357522e-76
9,cfg01_withSW_noStem_unigram_BOW,BOW/TF-IDF,BOW,0.493905,2.5103494399310295e-76
10,cfg04_withSW_stem_unigram_TFIDF,BOW/TF-IDF,TF-IDF,0.486581,8.252580608964905e-74
11,cfg02_withSW_noStem_bigram_BOW,BOW/TF-IDF,BOW,0.486143,1.1627911130387957e-73
12,cfg02_withSW_noStem_bigram_TFIDF,BOW/TF-IDF,TF-IDF,0.485878,1.4294332034052202e-73
13,cfg05_withSW_stem_bigram_BOW,BOW/TF-IDF,BOW,0.483362,1.0085960836791989e-72
14,cfg05_withSW_stem_bigram_TFIDF,BOW/TF-IDF,TF-IDF,0.480147,1.196563572953432e-71
15,wordnet_cfg02_withSW_lem,WordNet,WordNet,0.458866,8.061842317127791e-65
16,wordnet_cfg01_withSW_noLem,WordNet,WordNet,0.458866,8.061842317127791e-65
17,cfg08_noSW_noStem_bigram_TFIDF,BOW/TF-IDF,TF-IDF,0.445613,8.343956423456437e-61
18,cfg11_noSW_stem_bigram_TFIDF,BOW/TF-IDF,TF-IDF,0.44541,9.579572550321372e-61
19,cfg11_noSW_stem_bigram_BOW,BOW/TF-IDF,BOW,0.439998,3.711801435830139e-59
20,cfg08_noSW_noStem_bigram_BOW,BOW/TF-IDF,BOW,0.43772,1.695665939839275e-58
21,cfg06_withSW_stem_trigram_BOW,BOW/TF-IDF,BOW,0.422548,3.147341975153215e-54
22,cfg03_withSW_noStem_trigram_BOW,BOW/TF-IDF,BOW,0.42092,8.774719661029098e-54
23,cfg06_withSW_stem_trigram_TFIDF,BOW/TF-IDF,TF-IDF,0.41707,9.692443185183764e-53
24,cfg03_withSW_noStem_trigram_TFIDF,BOW/TF-IDF,TF-IDF,0.416755,1.1784094515203454e-52
25,cfg12_noSW_stem_trigram_TFIDF,BOW/TF-IDF,TF-IDF,0.388087,2.6048949299766616e-45
26,cfg12_noSW_stem_trigram_BOW,BOW/TF-IDF,BOW,0.387258,4.1455518027960326e-45
27,cfg09_noSW_noStem_trigram_TFIDF,BOW/TF-IDF,TF-IDF,0.383351,3.638332413779649e-44
28,cfg09_noSW_noStem_trigram_BOW,BOW/TF-IDF,BOW,0.382417,6.089888422433268e-44
